,IDGlobal,DataSource,DataSourceID,Designation,Type,Period,AcquiredData,DataSourceDate,Township,Municipality,Latitude,Longitude,Datum,Scale,MeasurementUnit,ChamberMaterial,ChamberPresence,ChamberState,BurialMoundMeasureMethod,CorridorMeasureMethod,ChamberMeasureMethod,Shape,Diameter,Length,width,eixoEW,eixoNS,HeightMin,HeightMax,OrthostatInSitu,OrthostatExSitu,CapstonePresence,CapstoneState,CorridorPresence,CorridorOrthostats,CorridorOrthostatsSouth,CorridorOrthostatsNorth,LengthCorridor,Height,widthMax,BurialMoundState,BurialMoundPresence,DiameterBurialMound,HeightBurialMound
,D1,PA - MAP WEB,11742,Anta/Sepultura da Têra,Dolmen,n/a,########,n/a,Mora,Pavia,38.89147,-7.96998,WGS84,n/a,m,n/a,n/a,n/a,n.d,n.d,n.d,Ferradura,2.07,n/a,n/a,n/a,n/a,0.94,1.24,5,n/a,maybe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,D2,PA - MAP WEB,1874,Adua 1,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.90512,-8.02433,WGS84,n/a,m,n/a,n/a,regular,n.d,n.d,n.d,polygonal,3.1,n/a,n/a,n/a,n/a,2,n/n,7,n/a,no,overturned,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,D3,PA - MAP WEB,1880,Adua 2,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.91101,-8.02942,WGS84,n/a,m,n/a,n/a,bad,n.d,n.d,n.d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,maybe,ex situ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a
,D4,PA - MAP WEB,1883,Adua 3,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.9111,-8.03019,WGS84,n/a,m,n/a,n/a,n/a,n.d,n.d,n.d,Circular,1.62,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a,n/a,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,D5,PA - MAP WEB,12236,Adua 4,Dolmen,n/a,########,n/a,Mora,Pavia,38.91233,-8.03141,WGS84,n/a,m,granite,n/a,n/a,n.d,n.d,n.d,Circular,1.6,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a,yes,in situ,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a
,D6,PA - MAP WEB,12237,Adua 5,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.9099,-8.03274,WGS84,n/a,m,n/a,n/a,destroyed,n.d,n.d,n.d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,maybe,n/a,n/a
,D7,PA - MAP WEB,12239,Adua 6,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.90522,-8.03934,WGS84,n/a,m,n/a,n/a,bad,n.d,n.d,n.d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,no,overturned,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a
,D8,PA - MAP WEB,12238,Adua 7,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.90712,-8.03971,WGS84,n/a,m,quartz,n/a,regular,n.d,n.d,n.d,Ferradura,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,maybe,overturned,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a
,D9,PA - MAP WEB,26674,Alcarou de Baixo 2,Dolmen,Neo-Calcolítico;,########,n/a,Mora,Pavia,38.84026,-8.05076,WGS84,n/a,m,n/a,n/a,good,n.d,n.d,n.d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,2,no,ex situ,n/a,9,4,5,n/a,n/a,n/a,n/a,yes,n/a,n/a
,D10,PA - MAP WEB,26678,Alcarou de Baixo 3,Dolmen,n/a,########,n/a,Mora,Pavia,38.84144,-8.05076,WGS84,n/a,m,n/a,n/a,n/a,n.d,n.d,n.d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
